23 de agosto de 1729	tempo	Gazetas	1
Diário	obra	Gazetas	2
Vasco Fernandes César	pessoa	Gazetas	1
El-rei	pessoa	Gazetas	7
Conde de Sabugosa	pessoa	Gazetas	2
Viseu	lugar	Gazetas	2
Rodrigo César	pessoa	Gazetas	2
Antônio da Silva Pimentel	pessoa	Gazetas	1
meia arroba	medida	Gazetas	1
Dona Maurícia	pessoa	Gazetas	1
Frei Antônio da Piedade	pessoa	Gazetas	1
Macau	lugar	Gazetas	2
João Baptista Rollano	pessoa	Gazetas	1
Índia	lugar	Gazetas	3
Mombaça	lugar	Gazetas	2
arábios	outros	Gazetas	1
Lisboa	lugar	Gazetas	4
Bahia	lugar	Gazetas	2
abril	tempo	Gazetas	1
Goa	lugar	Gazetas	1
Dom José de Soto Maior	pessoa	Gazetas	1
Caetano de Melo	pessoa	Gazetas	1
Conde de Coculim	pessoa	Gazetas	1
João de Saldanha	pessoa	Gazetas	2
Martinho da Silveira de Meneses	pessoa	Gazetas	1
Morgado de Oliveira	pessoa	Gazetas	1
Ministro de Évora	pessoa	Gazetas	1
Cardeal Pereira	pessoa	Gazetas	1
Domingos	tempo	Gazetas	1
André Lopes do Lavre	pessoa	Gazetas	1
Ni siempre lo peor es cierto	obra	Gazetas	1
Mafra	lugar	Gazetas	5
Conde de Unhão João Xavier	pessoa	Gazetas	1
Algarve	lugar	Gazetas	2
Senhora Condessa de Castelo Melhor	pessoa	Gazetas	1
Senhora Dona Inácia de Rohan	pessoa	Gazetas	1
Caldas	lugar	Gazetas	2
Senhora Dona Ana Joaquina	pessoa	Gazetas	1
Condessa da Ericeira	pessoa	Gazetas	1
Senhora Condessa de Vila Nova	pessoa	Gazetas	1
Senhora Dona Teresa da Silveira	pessoa	Gazetas	1
Conde de Sarzedas	pessoa	Gazetas	3
Conde de Aveiras Luís da Silva	pessoa	Gazetas	2
Marques de Abrantes	pessoa	Gazetas	1
Trancoso	lugar	Gazetas	1
pároco Pascoal João	pessoa	Gazetas	1
ano de 1533	tempo	Gazetas	1
Gonçalo Anes Bandarra	pessoa	Gazetas	1
Santo Ofício	organização	Gazetas	1
Antônio Henriques	pessoa	Gazetas	1
Bento Pereira	pessoa	Gazetas	1
Valença	lugar	Gazetas	1
praça de Mahé do Samorim	lugar	Gazetas	1
Conde de Ericeira	pessoa	Gazetas	1
El-rei de França	pessoa	Gazetas	1
Rainha	pessoa	Gazetas	1
Diário de Lisboa	obra	Gazetas	1
9 de agosto de 1729	tempo	Gazetas	1
Senhor Infante Dom Carlos	pessoa	Gazetas	1
Troilo de Vasconcelos	pessoa	Gazetas	2
Dom Henrique de Meneses	pessoa	Gazetas	1
Antônio Teles de Meneses	pessoa	Gazetas	1
Senhor da Casa de Vila Pouca	pessoa	Gazetas	1
Marquês de Alegrete	pessoa	Gazetas	1
Conde de Assumar	pessoa	Gazetas	1
Embaixador de Castela	pessoa	Gazetas	1
Portugal	lugar	Gazetas	1
Espanha	lugar	Gazetas	1
mouros	outros	Gazetas	1
Marquês de Marialva	pessoa	Gazetas	1
Marquês de Távora	pessoa	Gazetas	2
Visconde de Asseca	pessoa	Gazetas	2
Conde da Ribeira	pessoa	Gazetas	2
senhora Marquesa de Távora	pessoa	Gazetas	1
princípios de outubro	tempo	Gazetas	1
sezões	sintoma	Gazetas	1
Fernão Correia de Lacerda	pessoa	Gazetas	1
Senhora de Pancas	pessoa	Gazetas	1
Odivelas	lugar	Gazetas	1
Dom Rodrigo de Noronha	pessoa	Gazetas	1
Condessa de Arcos	pessoa	Gazetas	1
dois mil cruzados	valor	Gazetas	1
Visconde	pessoa	Gazetas	1
Conde de Avintes	pessoa	Gazetas	2
Marquês de Abrantes	pessoa	Gazetas	2
Conselho da Fazenda	organização	Gazetas	1
Pernambuco	lugar	Gazetas	1
Antônio de Saldanha	pessoa	Gazetas	1
Morgado, de Oliveira	pessoa	Gazetas	1
Deão de Évora	pessoa	Gazetas	1
Papa	pessoa	Gazetas	1
Orsini	pessoa	Gazetas	1
Amburguesi	pessoa	Gazetas	1
Marquês de Alegrete Manuel Teles	pessoa	Gazetas	1
Duque do Cadaval	pessoa	Gazetas	1
Igreja de Santo Antônio da Sé	lugar	Gazetas	1
sineiro da Sé	pessoa	Gazetas	1
Monsieur Camus	pessoa	Gazetas	1
Camus	pessoa	Gazetas	1
Conde da Ericeira	pessoa	Gazetas	1
Louriçal	lugar	Gazetas	1
Senhora Marquesa de Arronches	pessoa	Gazetas	1
Conde de São Vicente	pessoa	Gazetas	1
Senhora Condessa dos Arcos	pessoa	Gazetas	1
Campo Grande	lugar	Gazetas	1
Botol	lugar	Gazetas	1
Francisco de Almada	pessoa	Gazetas	1
José	pessoa	Gazetas	1
senhora Marquesa de Marialva	pessoa	Gazetas	1
Condessa de Soure	pessoa	Gazetas	1
Senhora Dona Maria Madalena de Portugal	pessoa	Gazetas	1
senhora Condessa da Atalaia Dona Francisca	pessoa	Gazetas	1
Padre Frei Antônio da Piedade	pessoa	Gazetas	1
Varatojo	lugar	Gazetas	1
Abadessa de Santa Clara	pessoa	Gazetas	1
Padre Frei Francisco	pessoa	Gazetas	1
Santos	lugar	Gazetas	1
Manuel Caetano Lopes de Lavre	pessoa	Gazetas	1
8.000 cruzados	valor	Gazetas	1
Manuel Caetano	pessoa	Gazetas	1
um conto de réis	valor	Gazetas	1
30 arrobas	medida	Gazetas	1
Simão de Melo Cogominho	pessoa	Gazetas	1
Dom Antônio Alves da Cunha	pessoa	Gazetas	1
Dom Antônio de Azevedo	pessoa	Gazetas	1
Francisco de Sousa da Silva Alcoforado	pessoa	Gazetas	1
Sancho de Melo	pessoa	Gazetas	1
Dom Luís de Almada	pessoa	Gazetas	1
Rossio	lugar	Gazetas	1
o de Angeja	pessoa	Gazetas	1
Senhora Condessa da Ericeira	pessoa	Gazetas	1
Lojos	organização	Gazetas	1
Conde de Lavradio	pessoa	Gazetas	1
Patriarca	pessoa	Gazetas	1
Senhora Condessa de Alva	pessoa	Gazetas	1
Conde de Vimieiro	pessoa	Gazetas	1
Senhora Condessa de Óbidos	pessoa	Gazetas	1
Almirante	pessoa	Gazetas	1
Cardel Pereira	pessoa	Gazetas	1
João Marques Bacalhau	pessoa	Gazetas	1
150.000 réis	valor	Gazetas	1
dor de cólica	sintoma	Semedo	1
três onças	medida	Semedo	3
Primavera	tempo	Semedo	1
Lisboa	lugar	Semedo	1
Antonio Simões Lopo	pessoa	Semedo	1
vinte e três de Julho de 1664	tempo	Semedo	1
Hércules	pessoa	Semedo	1
Sansão	pessoa	Semedo	1
Gedeão	pessoa	Semedo	1
Valesio	pessoa	Semedo	1
duas onças	medida	Semedo	2
meia onça	medida	Semedo	1
cinco onças	medida	Semedo	1
uma onça	medida	Semedo	1
Lucas Rodriguez	pessoa	Semedo	1
Domingas Ferreira Lopa	pessoa	Semedo	1
Francisco Curvo	pessoa	Semedo	1
Capitão Francisco de Albuquerque	pessoa	Semedo	1
Polyanthea	obra	Semedo	1
Mangeto	pessoa	Semedo	1
Primeira Dominga do Advento	tempo	Vieira	1
Capella Real	lugar	Vieira	1
Ano de 1652	tempo	Vieira	1
Lucas	obra	Vieira	1
dia do Juízo	acontecimento	Vieira	5
Evangelho	obra	Vieira	1
Redentor	pessoa	Vieira	1
Cristo Jesus	pessoa	Vieira	1
Juiz	pessoa	Vieira	1
Majestade	organização	Vieira	1
doze Apóstolos	organização	Vieira	1
Mãe de misericórdia	pessoa	Vieira	1
Filho	pessoa	Vieira	1
Deus	pessoa	Vieira	7
Sagradas Escrituras	obra	Vieira	1
conjunção maior	acontecimento	Vieira	1
Autor da natureza	pessoa	Vieira	1
supremo Artífice	pessoa	Vieira	1
dia de sua criação	acontecimento	Vieira	1
Juízo	acontecimento	Vieira	1
profeta Habacuc	pessoa	Vieira	1
Encarnação do Verbo	acontecimento	Vieira	1
quatro mil anos depois da criação	tempo	Vieira	1
Cristo	pessoa	Vieira	1
ano do nascimento de Cristo	tempo	Vieira	1
fim do mundo	acontecimento	Vieira	1
sexto dia da criação	tempo	Vieira	1
o sétimo	tempo	Vieira	2
Escritura	obra	Vieira	1
sexto milenário da duração do mundo	tempo	Vieira	1
Gentios	outros	Vieira	2
Hebreus	outros	Vieira	2
Gregos	outros	Vieira	2
Latinos	outros	Vieira	2
Mercúrio	pessoa	Vieira	1
Hydaspes	pessoa	Vieira	1
Trismegisto	pessoa	Vieira	1
Sibyllas	pessoa	Vieira	1
Rabbi Isaac	pessoa	Vieira	1
Rabbi Elias	pessoa	Vieira	1
Rabbi Moysés Gerundense	pessoa	Vieira	1
Santo [Hyppolito]	pessoa	Vieira	1
São Justino	pessoa	Vieira	1
Santo Irineu	pessoa	Vieira	1
São Cyrillo	pessoa	Vieira	1
São Crisóstomo	pessoa	Vieira	1
Tertulliano	pessoa	Vieira	1
Lactâncio	pessoa	Vieira	1
São Jerônimo	pessoa	Vieira	1
Santo Agostinho	pessoa	Vieira	1
Santo Hilário	pessoa	Vieira	1
Providência Divina	outros	Vieira	1
Berllarmino	pessoa	Vieira	1
Genebrardo	pessoa	Vieira	1
Feuardencio	pessoa	Vieira	1
Pico Mirandulano	pessoa	Vieira	1
Bongo	pessoa	Vieira	1
Cornélio	pessoa	Vieira	1
Roma	lugar	Vieira	1
Paris	lugar	Vieira	1
Lisboa	lugar	Vieira	1
